code,cardType,taxNo,company_name,address,postalCode,phoneNumber,phoneNumber_quality,tax_Office,taxOfficeCode,email,email_quality,rep_name,currency,country_code,province_code,district_code,definition,Offers
C001,ALICI-SATICI,2450006683,ÇETİN CİVATA A.Ş.,Muratbey Köy Yolu Taşocakları Mevkii Mah. Fabrikalar Cad. No:17,34545,0212 778 11 00,,MARMARA KURUMLAR VERGİ D. BŞK.,34232,olcay.ozgur@cetin.com.tr,ugur.dede@cetin.com.tr,Olcay Özgür,TL,TR,34,15,,
C002,ALICI-SATICI,1950030906,CVT CİVATA-VİDA SAN. TİC. LTD. ŞTİ.,"Topselvi Mah. D-100 Güney Yan Yol No:6/7 P.K. 34873 ",34873,0216 488 88 74,0542 520 50 08,KARTAL VERGİ DAİRESİ MÜDÜRLÜĞÜ,34285,muhasebe@cvtcivata.com,,Serkan Bey,TL,TR,34,25,,
B001,ALICI-SATICI,4640039210,BOLT BAĞLANTI ELEMANLARI SAN.TİC.A.Ş.,Geyveli Cad. No:16,16235,0224 482 23 04,0541 614 27 41,ERTUĞRULGAZİ VERGİ DAİRESİ,16258,muhasebe@bolt.com.tr,Ridvan.Aydin@BOLT.COM.TR,Rıdvan Özel,TL,TR,16,12,,
K001,ALICI-SATICI,4840568639,KPS YEDEK PARÇA SANAYİ LTD. ŞTİ.,Çalı Sanayi Bölgesi Mah. Ömer Biltekin Caddesi Bakır Sk. No:6,16131,0542 429 23 11,0507 752 18 97,ÇEKİRGE VERGİ DAİRESİ,16253,gurkank@kpsgrup.com,kalite@kpsgrup.com,Erkan Bey,TL,TR,16,12,,
U001,ALICI-SATICI,8980075551,UYGUR MOBİLYA SANAYİ TEKERLEKLERİ VE ÜRÜN SAN.TİC.LTD.ŞTİ.,"Orhangazi Mah. 1664 Sk. No:15 ",34538,0212 672 05 86,,MARMARA KURUMLAR VERGİ D. BŞK.,34232,info@uygurteker.com.tr,,,TL,TR,34,18,,
A001,ALICI-SATICI,130631930,AKAR YEDEK PARÇA SAN. TİC. LTD. ŞTİ.,K.K.S. 2. KISIM 2. ETAP 2205 ADA Mah. 104. Sk. No:73-75,,0236 312 06 43,0 554 581 70 45,TURGUTLU VERGİ DAİRESİ,45209,info@akarmakina.com,,Mehmet Bey,TL,TR,45,17,,
A002,ALICI-SATICI,350039370,AKSİSTEM ELEKTROMEKANİK SAN.VE TİC.LTD.ŞTİ.,"YILDIRIM BEYAZIT OSB Mah. Sanayi Bulvarı No:112/A ",,0282 748 00 00,,ÇERKEZKÖY VERGİ DAİRESİ,59261,tulay@aksistem.com.tr,,,TL,TR,59,1,,
B002,ALICI-SATICI,1780023649,BİRLİK BAĞLANTI ELEM.SAN.TİC.LTD.ŞTİ.,"Fevzipaşa Mah. Mezbaha Sk. No:44 ",34582,0212 735 27 27,0530 091 55 72,SİLİVRİ   VERGİ  DAİRESİ    MD,34203,birlik@birlikbaglanti.com,ridvan@birlikbaglanti.com,Zühre Hanım,TL,TR,34,31,,
B003,ALICI-SATICI,1770205004,BİRİKİM KİMYA MÜHENDİSLİK MAKİNA İNŞAAT NAKLİYAT İTHALAT İHRACAT SAN.TİC.LTD.ŞTİ.,"Küçük Sanayi Sitesi Yeşiloba Mah. 46067. Sk. No:2 Daire:F ",,0532 476 17 60,,YÜREĞİR VERGİ DAİRESİ,1252,sonermarasli@birikimmakina.com,,Ersin Bey,TL,TR,1,12,,
E001,ALICI-SATICI,3770683924,ESAS BAĞLANTI ELEMANLARI SAN. TİC. LTD. ŞTİ.,Demirci Mah. Demirci Yolu B Blok Cad.  No:17  B/A,16159,0224 494 12 84,0533 133 48 00,ÇEKİRGE VERGİ DAİRESİ,16253,bilgi@esasbaglanti.com,,Hamit Bey,TL,TR,16,12,,
